Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Women and Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling
2010,656,1059,3988,1666,130,17752,870,473,3101,8529,87139,1575,253,29344,6363
2011,650,1069,3966,1863,109,21389,792,581,3134,8873,88355,1269,207,31696,5714
2012,593,964,4114,1907,94,20947,850,659,2927,8598,96112,1511,289,37264,6578
2013,613,1021,4393,1896,172,19601,879,1257,2762,7882,93930,1517,1007,35832,6437
2014,651,1155,4514,1716,79,21291,920,702,2809,7660,90400,2023,520,42501,6788
2015,492,933,4037,1549,93,21210,805,634,2495,6821,84117,2079,725,47666,6179
2016,408,722,3591,1052,53,18446,639,521,2213,6110,77747,2291,487,62208,4680
2017,336,657,3549,1045,23,17073,509,543,2163,5833,74645,2208,362,98984,5599
2018,262,562,3830,922,26,16253,444,811,2137,5561,69736,2515,1310,112549,4501
2019,32,68,351,48,1,1139,46,69,174,494,5428,174,30,9069,361
